INGREDIENTES;UND;PRECIO / UNID;RENDIMIENTO
HARINA DE AREPAS;kg;1.51 А;100.00%
HARINA DE ARROZ;kg;1.92 А;100.00%
harina de centeno;kg;1.67 А;100.00%
harina de garbanzo;kg;4.10 А;100.00%
HARINA DE MAIZ;kg;1.54 А;100.00%
harina entrefuerte;kg;0.38 А;100.00%
harina floja;kg;0.53 А;100.00%
HARINA FUERZA;kg;0.54 А;100.00%
HARINA INTEGRAL;kg;0.56 А;100.00%
helado lts;lt;0.72 А;100.00%
hierba buena;manj;0.28 А;100.00%
hierbas aromaticas;kg;7.60 А;100.00%
higado de cerdo;kg;2.24 А;100.00%
higado de pollo;kg;1.90 А;100.00%
higado de vacuno;kg;2.95 А;100.00%
higos picos;kg;1.20 А;100.00%
HIGOS SECOS;kg;3.11 А;100.00%
hinojos;kg;0.50 А;100.00%
hojas de azucar;unid.;0.05 А;100.00%
HOJAS DE PARRA;kg;0.98 А;100.00%
HUESOS;kg;2.75 А;100.00%
HUESOS DE JAMON;kg;1.85 А;100.00%
HUEVAS DE ARENQUE;Kg;89.46 А;100.00%
HUEVAS DE ERIZO;Kg;115.40 А;100.00%
HUEVAS DE LUMPO;Kg;18.00 А;100.00%
HUEVAS DE SALMON;Kg;62.03 А;100.00%
HUEVO LIQUIDO;kg;1.73 А;100.00%
HUEVOS DE CODORNIZ;UNIDAD;0.07 А;100.00%
huevos de pascua;unid.;1.20 А;100.00%
HUEVOS M;UNIDAD;0.09 А;100.00%
HUEVOS XL;UNIDAD;0.19 А;100.00%
impulsor en polvo;kg;4.32 А;100.00%
jabali ragout/tacos;kg;8.94 А;100.00%
jamon bodega s/h;kg;8.67 А;100.00%
jamon iberico bellota s/h;kg;12.24 А;100.00%
jamon iberico de cebo;kg;35.00 А;100.00%
jamon iberico pn bellota;kg;8.91 А;100.00%
jamon serrano;kg;8.30 А;100.00%
jamon york 11x11;kg;2.02 А;100.00%
jamon york extra;kg;4.51 А;100.00%
jamoncito de ala cong.;kg;2.35 А;100.00%
JAREAS DE PESCADO;Kg;17.09 А;100.00%
JENGIBRE;kg;3.80 А;100.00%
JENGOBRE MOLIDO;kg;5.60 А;100.00%
judia verde ancha;kg;3.63 А;100.00%
judias cong.;kg;1.01 А;100.00%
KETCHUP SOBRE;UNIDAD;0.03 А;100.00%
kiwi;kg;1.76 А;100.00%
lagrimas ibericas;kg;9.20 А;100.00%
langosta cong.;kg;21.85 А;100.00%
langostino 2;kg;16.00 А;100.00%
langostino 3;kg;7.75 А;100.00%
langostino 4;kg;8.00 А;100.00%
langostino 5;kg;6.75 А;100.00%
lapas fresco;kg;7.95 А;100.00%
LASA—A;kg;8.33 А;100.00%
LAUREL;kg;16.66 А;100.00%
LAVANDA;kg;18.50 А;100.00%
LECHE CABRA;L;1.12 А;100.00%
LECHE CONDENSADA;kg;1.85 А;100.00%
LECHE CONDESADA ;SOBRE;0.07 А;100.00%
LECHE DE ALMENDRAS;L;2.20 А;100.00%
LECHE DE AVENA;L;1.52 А;100.00%
LECHE DE COCO;L;2.90 А;100.00%
LECHE DE SOJA;L;0.98 А;100.00%
LECHE DESNATADA;L;0.54 А;100.00%
LECHE EN POLVO;kg;5.23 А;100.00%
LECHE ENTERA;L;0.55 А;100.00%
LECHE ENTERA SIN LACTOSA;L;1.35 А;100.00%
LECHE EVAPORADO;L;1.95 А;100.00%
LECHE FRESCA;kg;0.89 А;100.00%
LECHE SEMIDESNATADA;L;0.89 А;100.00%
lechiga roja;kg;0.70 А;100.00%
lechuga;kg;1.20 А;100.00%
lechuga iceberg;kg;3.50 А;100.00%
lecitina soja;kg;56.60 А;100.00%
lengua res;kg;5.00 А;100.00%
LENGUADO ENTERO CONG;Kg;5.60 А;100.00%
LENGUADO FILETE CONG;Kg;4.80 А;100.00%
lenguado fresco;kg;16.80 А;100.00%
LENTEJA COLORES HINDU;kg;2.50 А;100.00%
LENTEJA DE LANZAROTE;kg;1.59 А;100.00%
LENTEJA PEQEU—A;KG;1.33 А;100.00%
levadura para pan;kg;8.80 А;100.00%
lima;kg;4.80 А;100.00%
limon confitado ;kg;8.75 А;100.00%
limon polvo;kg;17.96 А;100.00%
limones;kg;2.15 А;100.00%
lomo adobado;kg;3.95 А;100.00%
lomo bola cong.;kg;5.00 А;100.00%
lomo bola fresc.;kg;5.90 А;100.00%
lomo buey;kg;6.95 А;100.00%
lomo cinta cong.;kg;3.15 А;100.00%
lomo cinta fresc.;kg;6.95 А;100.00%
lomo embuchado;kg;31.87 А;100.00%
lomo iberico bellota;kg;25.58 А;100.00%
lubina fresco;kg;7.95 А;100.00%
